"35","1545 Peachtree St. NE, ATLANTA, GA, 30309","Tie"
"36","171 17th St., ATLANTA, GA, 30363","No_Match"
"170","3701 College Ave., CLARKSTON, GA, 30021","Match","Exact","3701 COLLEGE AVE, CLARKSTON, GA, 30021","-84.23848,33.8061","23405496","R"
"21","265 18th St., ATLANTA, GA, 30363","Match","Exact","265 18TH ST, ATLANTA, GA, 30363","-84.3969,33.7924","618351195","R"
"171","470 Candler Park Dr NE, ATLANTA, GA, 30307","Match","Exact","470 CANDLER PARK DR NE, ATLANTA, GA, 30307","-84.339386,33.76708","618352735","L"
"20","2300 Peachtree Road, ATLANTA, GA, 30309","Match","Exact","2300 PEACHTREE RD, ATLANTA, GA, 30309","-84.38984,33.816883","623785388","L"
"174","344 Candler Park Dr., ATLANTA, GA, 30307","Match","Non_Exact","344 CANDLER PARK DR NE, ATLANTA, GA, 30307","-84.33957,33.76399","23365169","L"
"175","2500 Clairmont Rd. NE, ATLANTA, GA, 30329","Match","Exact","2500 CLAIRMONT RD NE, ATLANTA, GA, 30329","-84.30828,33.828445","23401181","L"
"172","1058 Howell Mill Rd., ATLANTA, GA, 30318","Match","Exact","1058 HOWELL MILL RD, ATLANTA, GA, 30318","-84.41186,33.783707","17342004","L"
"173","350 Spelman Lane SW, ATLANTA, GA, 30314","Match","Exact","350 SPELMAN LN SW, ATLANTA, GA, 30314","-84.40899,33.745384","17343078","R"
"220","2935 North Druid Hills Rd., ATLANTA, GA, 30329","Match","Non_Exact","2935 N DRUID HILLS RD NE, ATLANTA, GA, 30329","-84.31081,33.816254","642648014","R"
"221","503 Peeples St. SW, ATLANTA, GA, 30310","Match","Exact","503 PEEPLES ST SW, ATLANTA, GA, 30310","-84.4205,33.741234","17342669","R"
"222","145 Denmead St., MARIETTA, GA, 30060","Match","Non_Exact","145 DENMEAD ST NW, MARIETTA, GA, 30060","-84.55181,33.95488","17254833","L"
"223","571 South Kilgo Circle, ATLANTA, GA, 30322","Match","Exact","571 S KILGO CIR, ATLANTA, GA, 30322","-84.32449,33.790108","23366127","R"
"224","1000 Chastain Road, KENNESAW, GA, 30144","Match","Exact","1000 CHASTAIN RD, KENNESAW, GA, 30144","-84.5814,34.03185","640540957","R"
"225","128 East Pike St., LAWRENCEVILLE, GA, 30046","Match","Non_Exact","128 E PIKE ST, LAWRENCEVILLE, GA, 30045","-83.98724,33.957394","88889166","L"
"226","1321 Atlanta Highway, CUMMING, GA, 30040","Match","Exact","1321 ATLANTA HWY, CUMMING, GA, 30040","-84.16184,34.17261","627711593","R"
"227","887 West Marietta St., ATLANTA, GA, 30318","Match","Non_Exact","887 MARIETTA ST, ATLANTA, GA, 30318","-84.407394,33.77631","17342237","R"
"228","705 Hammond Dr. NE, SANDY SPRINGS, GA, 30328","Match","Exact","705 HAMMOND DR NE, SANDY SPGS, GA, 30328","-84.35974,33.91896","17354890","R"
"188","32 Scott Blvd., DECATUR, GA, 30030","No_Match"
